index,City,Date,Card Type,Exp Type,Gender,Amount
49,"Greater Mumbai, India",2020-04-27,Signature,Bills,F,551340.0
50,"Delhi, India",2020-10-04,Signature,Bills,F,735037.0
51,"Greater Mumbai, India",2019-12-31,Platinum,Bills,F,574023.0
52,"Ahmedabad, India",2020-12-21,Signature,Bills,F,402300.0
53,"Delhi, India",2020-12-07,Signature,Bills,F,733125.0
54,,2020-02-07,Signature,Bills,F,545977.0
55,"Bengaluru, India",2019-05-13,Silver,Bills,F,371572.0
56,"Ahmedabad, India",2020-01-28,Signature,Bills,F,326283.0
57,"Delhi, India",,Platinum,Bills,F,279051.0
58,"Delhi, India",2019-10-08,Platinum,Bills,F,900101.0
59,"Ahmedabad, India",,Silver,Bills,F,545286.0
60,"Delhi, India",2019-01-13,Platinum,Bills,F,722587.0
61,"Bengaluru, India",2020-03-14,Platinum,Bills,F,
62,"Delhi, India",,Platinum,Bills,F,660910.0
63,"Greater Mumbai, India",2019-10-29,Signature,Bills,F,557370.0
64,"Greater Mumbai, India",2019-06-22,Platinum,Bills,F,549794.0
65,"Delhi, India",2020-01-23,Platinum,Bills,F,340133.0
66,"Bengaluru, India",2019-11-10,Gold,Bills,F,265417.0
67,"Greater Mumbai, India",2020-12-13,Platinum,Bills,F,358185.0
68,"Greater Mumbai, India",2019-03-22,Gold,Bills,F,991685.0
69,"Greater Mumbai, India",2020-01-13,Gold,Bills,F,533762.0
70,"Greater Mumbai, India",,Gold,Bills,F,829742.0
71,"Delhi, India",2019-02-18,Silver,Bills,F,441527.0
72,"Delhi, India",2019-10-04,Signature,Bills,F,550782.0
73,"Greater Mumbai, India",2020-06-14,Platinum,Bills,F,835872.0
74,"Ahmedabad, India",2019-08-24,Silver,Bills,F,540497.0
75,"Greater Mumbai, India",2020-04-02,Platinum,Bills,F,525977.0
76,"Greater Mumbai, India",,Gold,Bills,F,789393.0
77,"Greater Mumbai, India",2020-02-06,Platinum,Bills,F,689478.0
78,"Bengaluru, India",2020-03-29,Silver,Bills,F,499079.0
79,"Ahmedabad, India",,Platinum,Bills,F,665107.0
80,"Greater Mumbai, India",2019-10-14,Platinum,Bills,F,998077.0
81,"Ahmedabad, India",2020-02-02,Silver,Bills,F,934205.0
82,"Bengaluru, India",,Platinum,Bills,F,823426.0
83,"Ahmedabad, India",2020-01-13,Signature,Bills,F,282910.0
84,,2020-03-27,Gold,Bills,F,
85,"Ahmedabad, India",2019-02-17,Silver,Bills,F,804949.0
86,"Bengaluru, India",2020-02-10,Gold,Bills,F,686601.0
87,"Greater Mumbai, India",2020-02-26,Silver,Bills,F,561220.0
88,"Greater Mumbai, India",2020-05-07,Gold,Bills,F,762534.0
89,"Bengaluru, India",2019-01-05,Gold,Bills,F,327947.0
90,"Bengaluru, India",2020-04-07,Gold,Bills,F,492986.0
91,"Delhi, India",2020-02-20,Signature,Bills,F,369237.0
92,"Bengaluru, India",2020-01-19,Platinum,Bills,F,983839.0
93,"Ahmedabad, India",2020-11-14,Gold,Bills,F,776716.0
94,"Greater Mumbai, India",2019-07-21,Gold,Bills,F,664632.0
95,"Bengaluru, India",2019-02-03,Gold,Bills,F,466727.0
96,"Bengaluru, India",2020-11-01,Gold,Bills,F,896384.0
97,"Delhi, India",2019-12-07,Signature,Bills,F,
98,"Greater Mumbai, India",2020-08-05,Silver,Bills,F,246865.0
99,"Greater Mumbai, India",2020-01-08,Signature,Bills,F,858729.0
100,,2020-04-11,Platinum,Bills,F,581882.0
101,"Greater Mumbai, India",2019-02-15,Signature,Bills,F,646426.0
102,"Bengaluru, India",2020-03-24,Silver,Bills,F,687088.0
103,"Bengaluru, India",2020-10-13,Signature,Bills,F,973026.0
104,"Greater Mumbai, India",2019-04-24,Silver,Bills,F,944398.0
105,"Ahmedabad, India",,Platinum,Bills,F,414422.0
106,"Bengaluru, India",2020-02-04,Signature,Bills,F,408503.0
107,"Bengaluru, India",2019-03-06,Signature,Bills,F,984466.0
108,,2019-03-27,Gold,Bills,F,919997.0
109,"Greater Mumbai, India",2020-11-13,Signature,Bills,F,535101.0
110,"Greater Mumbai, India",2019-10-22,Signature,Bills,F,978301.0
111,"Greater Mumbai, India",2020-09-27,Gold,Bills,F,
112,"Ahmedabad, India",2020-11-14,Silver,Bills,F,447241.0
113,"Bengaluru, India",2020-10-21,Platinum,Bills,F,382191.0
114,"Bengaluru, India",2019-05-15,Silver,Bills,F,775859.0
115,"Bengaluru, India",2019-03-21,Platinum,Bills,F,832637.0
116,"Bengaluru, India",2019-04-03,Platinum,Bills,F,458526.0
117,"Ahmedabad, India",2020-04-06,Signature,Bills,F,440995.0
118,"Ahmedabad, India",2020-11-05,Platinum,Bills,F,490128.0
119,"Delhi, India",2020-10-07,Platinum,Bills,F,897079.0
120,"Delhi, India",2020-10-31,Gold,Bills,F,431948.0
121,"Bengaluru, India",2019-04-03,Silver,Bills,F,228072.0
122,"Delhi, India",2020-11-21,Gold,Bills,F,757649.0
123,,2019-05-11,Signature,Bills,F,919877.0
124,"Greater Mumbai, India",2020-05-23,Gold,Bills,F,605615.0
125,"Bengaluru, India",2019-05-22,Platinum,Bills,F,500852.0
126,"Greater Mumbai, India",2019-02-15,Signature,Bills,F,488136.0
127,"Delhi, India",2020-06-16,Gold,Bills,F,937828.0
128,"Delhi, India",2020-01-27,Gold,Bills,F,315873.0
129,"Greater Mumbai, India",2019-05-20,Silver,Bills,F,567623.0
130,"Greater Mumbai, India",2020-10-29,Platinum,Bills,F,555123.0
131,"Bengaluru, India",2019-04-20,Gold,Bills,F,498843.0
132,,2020-05-23,Silver,Bills,F,752610.0
133,"Greater Mumbai, India",2019-03-11,Platinum,Bills,F,494540.0
134,"Delhi, India",2020-10-27,Gold,Bills,F,996754.0
135,"Ahmedabad, India",2020-07-14,Signature,Bills,F,245572.0
136,"Delhi, India",2020-04-18,Gold,Bills,F,974384.0
137,"Ahmedabad, India",2020-03-25,Silver,Bills,F,846635.0
138,"Ahmedabad, India",2019-09-01,Silver,Bills,F,635473.0
139,,2020-03-23,Gold,Bills,F,224510.0
140,"Delhi, India",2019-01-24,Silver,Bills,F,478671.0
141,"Greater Mumbai, India",2019-10-04,Gold,Bills,F,990700.0
142,"Delhi, India",2020-03-14,Gold,Bills,F,228565.0
143,"Bengaluru, India",,Silver,Bills,F,297732.0
144,"Greater Mumbai, India",2020-12-03,Signature,Bills,F,559262.0
145,"Bengaluru, India",2020-07-01,Signature,Bills,F,
146,"Ahmedabad, India",,Signature,Bills,F,428316.0
147,"Ahmedabad, India",2019-03-05,Signature,Bills,F,275065.0
148,"Bengaluru, India",2019-04-20,Silver,Bills,F,845653.0
149,"Ahmedabad, India",2019-11-20,Signature,Bills,F,236296.0
150,"Bengaluru, India",2020-09-25,Signature,Bills,F,440572.0
151,"Ahmedabad, India",2019-02-06,Gold,Bills,F,478115.0
152,"Bengaluru, India",2019-10-26,Gold,Bills,F,897621.0
153,"Greater Mumbai, India",2019-05-06,Signature,Bills,F,554281.0
154,"Delhi, India",2019-09-30,Silver,Bills,F,245452.0
155,"Delhi, India",2020-01-17,Platinum,Bills,F,365045.0
156,"Greater Mumbai, India",2020-01-11,Gold,Bills,F,496047.0
157,"Bengaluru, India",2019-02-11,Silver,Bills,F,466814.0
158,"Bengaluru, India",2020-11-10,Gold,Bills,F,835177.0
159,"Delhi, India",2020-01-12,Silver,Bills,F,
160,,2020-10-18,Silver,Bills,F,784541.0
161,"Delhi, India",2019-10-25,Signature,Bills,F,576994.0
162,,,Gold,Bills,F,464663.0
163,"Bengaluru, India",2019-05-03,Platinum,Bills,F,380270.0
164,"Ahmedabad, India",2019-10-02,Silver,Bills,F,772082.0
165,"Delhi, India",2020-04-09,Gold,Bills,F,230853.0
166,"Bengaluru, India",2019-10-06,Signature,Bills,F,677654.0
167,"Greater Mumbai, India",2019-02-05,Signature,Bills,F,929247.0
168,"Ahmedabad, India",2019-04-09,Platinum,Bills,F,851374.0
169,"Ahmedabad, India",,Platinum,Bills,F,637600.0
170,"Greater Mumbai, India",2019-11-09,Platinum,Bills,F,681749.0
171,"Delhi, India",2019-03-25,Silver,Bills,F,847958.0
172,"Greater Mumbai, India",2019-02-18,Gold,Bills,F,877569.0
173,"Ahmedabad, India",2019-10-14,Platinum,Bills,F,450413.0
174,"Bengaluru, India",2020-05-01,Signature,Bills,F,219041.0
175,"Bengaluru, India",2020-12-31,Gold,Bills,F,866572.0
176,"Greater Mumbai, India",2019-03-26,Signature,Bills,F,570791.0
177,"Ahmedabad, India",2019-04-28,Silver,Bills,F,705464.0
178,,2019-04-06,Signature,Bills,F,806821.0
179,"Greater Mumbai, India",2020-03-27,Platinum,Bills,F,515472.0
180,"Ahmedabad, India",2019-09-23,Silver,Bills,F,352207.0
181,"Ahmedabad, India",2019-03-04,Gold,Bills,F,
182,"Bengaluru, India",2020-02-27,Signature,Bills,F,249099.0
183,"Ahmedabad, India",2019-08-27,Platinum,Bills,F,995634.0
184,"Bengaluru, India",2020-12-12,Signature,Bills,F,435097.0
185,"Ahmedabad, India",2020-06-16,Platinum,Bills,F,797815.0
186,"Delhi, India",2020-01-02,Gold,Bills,F,326922.0
187,"Bengaluru, India",2019-12-11,Gold,Bills,F,396241.0
188,"Delhi, India",2019-12-14,Gold,Bills,F,486949.0
189,"Greater Mumbai, India",2019-01-17,Gold,Bills,F,333483.0
190,"Ahmedabad, India",,Platinum,Bills,F,612572.0
191,"Bengaluru, India",,Silver,Bills,F,327244.0
192,"Ahmedabad, India",2020-02-04,Silver,Bills,F,955468.0
193,"Greater Mumbai, India",2019-02-25,Gold,Bills,F,927864.0
194,,2020-03-28,Signature,Bills,F,555220.0
195,"Delhi, India",2019-12-28,Silver,Bills,F,952640.0
196,"Ahmedabad, India",,Silver,Bills,F,695749.0
197,"Greater Mumbai, India",2019-08-22,Platinum,Bills,F,365724.0
198,"Greater Mumbai, India",2020-03-03,Platinum,Bills,F,738108.0
199,"Ahmedabad, India",2020-01-17,Platinum,Bills,F,650785.0
200,"Delhi, India",2019-10-23,Signature,Bills,F,611486.0
201,"Bengaluru, India",2019-08-05,Platinum,Bills,F,965721.0
202,"Ahmedabad, India",2020-10-12,Gold,Bills,F,413052.0
203,"Ahmedabad, India",,Silver,Bills,F,584822.0
204,"Ahmedabad, India",2020-03-25,Gold,Bills,F,980146.0
205,"Ahmedabad, India",2019-10-10,Signature,Bills,F,926072.0
206,"Delhi, India",2020-04-16,Silver,Bills,F,482394.0
207,"Bengaluru, India",2020-02-21,Signature,Bills,F,718346.0
208,"Bengaluru, India",2020-04-24,Silver,Bills,F,491598.0
209,"Delhi, India",2019-09-07,Platinum,Bills,F,848852.0
210,"Bengaluru, India",2019-12-28,Gold,Bills,F,
211,"Ahmedabad, India",,Signature,Bills,F,856974.0
212,"Ahmedabad, India",2020-04-03,Signature,Bills,F,855990.0
213,,2020-02-16,Signature,Bills,F,924776.0
214,"Greater Mumbai, India",2020-04-03,Signature,Bills,F,204850.0
215,"Delhi, India",2019-11-03,Platinum,Bills,F,780669.0
216,"Greater Mumbai, India",2019-04-17,Signature,Bills,F,887442.0
217,,2020-01-22,Signature,Bills,F,297820.0
218,"Delhi, India",2019-03-14,Signature,Bills,F,
219,"Greater Mumbai, India",2020-10-13,Silver,Bills,F,738456.0
220,"Delhi, India",2019-08-24,Platinum,Bills,F,378535.0
221,"Greater Mumbai, India",2019-05-09,Silver,Bills,F,334116.0
222,"Delhi, India",2020-06-07,Silver,Bills,F,
223,"Ahmedabad, India",2019-11-26,Gold,Bills,F,
224,"Greater Mumbai, India",2020-10-21,Silver,Bills,F,855465.0
225,"Greater Mumbai, India",2020-06-15,Gold,Bills,F,978989.0
226,"Ahmedabad, India",,Gold,Bills,F,451874.0
227,"Ahmedabad, India",2019-09-07,Silver,Bills,F,670750.0
228,"Bengaluru, India",,Signature,Bills,F,977951.0
229,"Delhi, India",2020-02-23,Platinum,Bills,F,403466.0
230,"Delhi, India",2019-10-28,Signature,Bills,F,861177.0
231,,,Gold,Bills,F,528612.0
232,"Ahmedabad, India",2019-12-04,Signature,Bills,F,339670.0
233,"Delhi, India",2020-11-18,Signature,Bills,F,
234,"Ahmedabad, India",2019-11-30,Gold,Bills,F,761930.0
235,"Ahmedabad, India",2019-08-21,Signature,Bills,F,852806.0
236,"Delhi, India",2019-05-25,Signature,Bills,F,207755.0
237,"Greater Mumbai, India",2020-04-19,Gold,Bills,F,
238,"Ahmedabad, India",2019-03-25,Silver,Bills,F,274395.0
239,"Bengaluru, India",2019-02-11,Platinum,Bills,F,566945.0
240,"Ahmedabad, India",2020-12-09,Gold,Bills,F,705690.0
241,"Bengaluru, India",2019-03-25,Gold,Bills,F,894888.0
242,"Greater Mumbai, India",2020-01-02,Platinum,Bills,F,811899.0
243,"Greater Mumbai, India",2020-12-25,Silver,Bills,F,677645.0
244,"Greater Mumbai, India",2019-10-16,Platinum,Bills,F,326162.0
245,"Delhi, India",2019-04-19,Platinum,Bills,F,316946.0
246,"Delhi, India",2020-01-20,Platinum,Bills,F,622373.0
247,"Bengaluru, India",2020-05-10,Signature,Bills,F,640653.0
248,"Ahmedabad, India",2019-01-09,Signature,Bills,F,745493.0
249,"Delhi, India",2019-10-31,Gold,Bills,F,868021.0
250,"Delhi, India",2019-11-28,Platinum,Bills,F,284923.0
251,"Bengaluru, India",2019-07-21,Platinum,Bills,F,814422.0
252,"Bengaluru, India",2020-04-22,Gold,Bills,F,599741.0
253,"Ahmedabad, India",2020-06-10,Platinum,Bills,F,804560.0
254,"Ahmedabad, India",2019-04-17,Gold,Bills,F,996291.0
255,"Ahmedabad, India",2019-11-09,Platinum,Bills,F,
256,"Delhi, India",2020-01-02,Gold,Bills,F,216028.0
257,"Greater Mumbai, India",,Signature,Bills,F,275427.0
258,"Delhi, India",2020-12-22,Silver,Bills,F,722048.0
259,"Delhi, India",2019-02-14,Silver,Bills,F,292365.0
260,"Ahmedabad, India",2020-01-30,Silver,Bills,F,400393.0
261,"Greater Mumbai, India",2019-04-01,Platinum,Bills,F,219720.0
262,"Delhi, India",2020-02-15,Signature,Bills,F,981404.0
263,"Bengaluru, India",2019-11-24,Signature,Bills,F,639670.0
264,"Bengaluru, India",2019-08-07,Gold,Bills,F,814333.0
265,"Ahmedabad, India",2020-10-17,Gold,Bills,F,
266,"Ahmedabad, India",2020-05-25,Gold,Bills,F,954111.0
267,"Ahmedabad, India",2019-05-16,Gold,Bills,F,635267.0
268,"Delhi, India",2020-10-11,Gold,Bills,F,393651.0
269,"Ahmedabad, India",2019-06-02,Platinum,Bills,F,572306.0
270,"Ahmedabad, India",2020-08-06,Silver,Bills,F,407647.0
271,"Greater Mumbai, India",2020-01-26,Gold,Bills,F,734396.0
272,"Delhi, India",2019-03-02,Platinum,Bills,F,
273,"Ahmedabad, India",2020-09-10,Signature,Bills,F,203194.0
274,"Greater Mumbai, India",,Gold,Bills,F,250410.0
275,"Delhi, India",2020-04-04,Silver,Bills,F,830697.0
276,"Greater Mumbai, India",2020-05-16,Platinum,Bills,F,790800.0
277,"Greater Mumbai, India",2019-02-22,Silver,Bills,F,638570.0
278,"Greater Mumbai, India",2019-08-13,Silver,Bills,F,380409.0
279,"Greater Mumbai, India",2019-04-01,Gold,Bills,F,601631.0
280,"Ahmedabad, India",,Gold,Bills,F,690534.0
281,"Ahmedabad, India",2020-03-05,Silver,Bills,F,423661.0
282,"Greater Mumbai, India",2020-12-08,Silver,Bills,F,936294.0
283,,2020-11-29,Platinum,Bills,F,537050.0
284,"Delhi, India",2019-03-08,Silver,Bills,F,899343.0
285,"Greater Mumbai, India",2020-11-25,Platinum,Bills,F,834691.0
286,"Ahmedabad, India",2020-04-13,Silver,Bills,F,240216.0
287,"Greater Mumbai, India",,Signature,Bills,F,424370.0
288,"Delhi, India",2019-02-13,Silver,Bills,F,593991.0
289,"Greater Mumbai, India",2019-10-02,Signature,Bills,F,768467.0
290,"Delhi, India",2020-02-07,Gold,Bills,F,781959.0
291,"Bengaluru, India",2019-12-27,Platinum,Bills,F,553907.0
292,,2020-08-04,Platinum,Bills,F,308622.0
293,"Greater Mumbai, India",2020-05-05,Signature,Bills,F,912334.0
294,"Delhi, India",2019-01-28,Silver,Bills,F,586474.0
295,"Delhi, India",2020-04-06,Gold,Bills,F,521237.0
296,"Delhi, India",2019-10-30,Signature,Bills,F,446266.0
297,"Greater Mumbai, India",2019-09-30,Platinum,Bills,F,511168.0
298,"Bengaluru, India",2019-12-28,Signature,Bills,F,608438.0
299,"Delhi, India",,Gold,Bills,F,973519.0
300,"Delhi, India",2019-11-28,Platinum,Bills,F,688577.0
301,"Bengaluru, India",2019-05-12,Silver,Bills,F,686619.0
302,,2019-11-06,Signature,Bills,F,255982.0
303,"Greater Mumbai, India",2019-03-02,Signature,Bills,F,464656.0
304,"Delhi, India",2019-04-19,Signature,Bills,F,212319.0
305,"Greater Mumbai, India",,Platinum,Bills,F,307563.0
306,"Delhi, India",2019-04-15,Silver,Bills,F,407564.0
307,"Bengaluru, India",2019-10-12,Signature,Bills,F,331349.0
308,"Delhi, India",,Silver,Bills,F,391325.0
309,"Ahmedabad, India",,Silver,Bills,F,530244.0
310,"Greater Mumbai, India",,Signature,Bills,F,668736.0
311,"Bengaluru, India",2020-12-03,Gold,Bills,F,517448.0
312,"Ahmedabad, India",2020-08-03,Platinum,Bills,F,788531.0
313,"Ahmedabad, India",2020-03-17,Gold,Bills,F,474729.0
314,"Bengaluru, India",2020-01-16,Platinum,Bills,F,590841.0
315,"Greater Mumbai, India",2020-01-05,Platinum,Bills,F,608427.0
316,"Delhi, India",2019-05-02,Silver,Bills,F,719835.0
317,,2019-12-30,Signature,Bills,F,
318,"Bengaluru, India",2019-05-19,Platinum,Bills,F,229589.0
319,"Bengaluru, India",2020-07-05,Signature,Bills,F,376453.0
320,"Delhi, India",2020-10-10,Signature,Bills,F,360009.0
321,"Ahmedabad, India",2020-08-03,Signature,Bills,F,770346.0
322,"Greater Mumbai, India",2019-05-23,Signature,Bills,F,489043.0
323,"Bengaluru, India",2020-11-11,Platinum,Bills,F,503037.0
324,"Greater Mumbai, India",2019-01-11,Platinum,Bills,F,731261.0
325,"Ahmedabad, India",2019-02-14,Signature,Bills,F,262755.0
326,"Greater Mumbai, India",2020-07-16,Gold,Bills,F,825475.0
327,"Greater Mumbai, India",2019-02-24,Platinum,Bills,F,922630.0
328,"Delhi, India",,Gold,Bills,F,752172.0
329,"Ahmedabad, India",2019-06-11,Gold,Bills,F,418009.0
330,"Delhi, India",2019-06-07,Signature,Bills,F,994537.0
331,"Greater Mumbai, India",2019-08-02,Silver,Bills,F,922206.0
332,"Greater Mumbai, India",2020-05-21,Signature,Bills,F,389097.0
333,"Bengaluru, India",2020-04-04,Signature,Bills,F,880778.0
334,"Greater Mumbai, India",2020-03-03,Gold,Bills,F,327971.0
335,"Bengaluru, India",2019-03-02,Signature,Bills,F,
336,"Bengaluru, India",2020-05-17,Silver,Bills,F,792440.0
337,"Bengaluru, India",,Signature,Bills,F,602222.0
338,"Ahmedabad, India",2020-09-03,Platinum,Bills,F,502399.0
339,"Ahmedabad, India",2019-03-17,Silver,Bills,F,272804.0
340,"Bengaluru, India",2020-06-06,Platinum,Bills,F,613280.0
341,"Delhi, India",2019-10-17,Signature,Bills,F,
342,"Bengaluru, India",2019-02-25,Silver,Bills,F,820217.0
343,"Greater Mumbai, India",,Signature,Bills,F,994184.0
344,"Ahmedabad, India",2019-12-07,Platinum,Bills,F,515263.0
345,"Ahmedabad, India",2019-08-28,Signature,Bills,F,338527.0
346,"Ahmedabad, India",,Silver,Bills,F,934683.0
347,"Ahmedabad, India",2020-07-07,Signature,Bills,F,454570.0
348,,2020-01-28,Gold,Bills,F,
349,"Ahmedabad, India",2019-06-12,Gold,Bills,F,958047.0
350,,2020-11-03,Silver,Bills,F,465281.0
351,"Ahmedabad, India",2020-12-31,Signature,Bills,F,653161.0
352,"Ahmedabad, India",2019-04-14,Gold,Bills,F,307350.0
353,"Greater Mumbai, India",2020-08-27,Silver,Bills,F,41002.0
354,"Bengaluru, India",2020-01-03,Silver,Bills,F,34743.0
355,"Bengaluru, India",2020-09-26,Signature,Bills,F,195589.0
356,"Bengaluru, India",2020-03-10,Signature,Bills,F,204735.0
357,"Ahmedabad, India",2019-05-14,Signature,Bills,F,118112.0
358,"Greater Mumbai, India",2020-12-12,Platinum,Bills,F,61572.0
359,"Delhi, India",2020-02-25,Gold,Bills,F,274938.0
360,"Greater Mumbai, India",2020-02-21,Signature,Bills,F,43854.0
361,"Delhi, India",2019-04-27,Gold,Bills,F,8798.0
362,"Greater Mumbai, India",2020-05-08,Gold,Bills,F,192241.0
363,"Bengaluru, India",2020-04-10,Silver,Bills,F,128164.0
364,"Delhi, India",2019-04-28,Signature,Bills,F,249061.0
365,"Greater Mumbai, India",2020-01-29,Gold,Bills,F,275283.0
366,"Greater Mumbai, India",2020-01-03,Platinum,Bills,F,172194.0
367,,,Gold,Bills,F,13162.0
368,"Bengaluru, India",2019-02-05,Platinum,Bills,F,3427.0
369,"Bengaluru, India",2020-01-07,Gold,Bills,F,171374.0
370,"Delhi, India",,Signature,Bills,F,286251.0
371,"Ahmedabad, India",2020-10-19,Platinum,Bills,F,123417.0
372,"Delhi, India",2019-12-03,Silver,Bills,F,
373,"Ahmedabad, India",2019-10-26,Signature,Bills,F,64113.0
374,"Bengaluru, India",2020-03-27,Platinum,Bills,F,54374.0
375,"Ahmedabad, India",,Signature,Bills,F,175515.0
376,"Delhi, India",2019-11-25,Gold,Bills,F,78773.0
377,"Bengaluru, India",2020-06-25,Signature,Bills,F,
378,"Delhi, India",2020-11-22,Silver,Bills,F,263613.0
379,"Greater Mumbai, India",2020-04-22,Platinum,Bills,F,265434.0
380,"Delhi, India",2020-06-03,Signature,Bills,F,87839.0
381,"Delhi, India",2019-06-16,Signature,Bills,F,60905.0
382,"Delhi, India",,Platinum,Bills,F,199726.0
383,"Delhi, India",,Silver,Bills,F,267896.0
384,,2020-12-31,Gold,Bills,F,198937.0
385,"Greater Mumbai, India",2019-10-02,Gold,Bills,F,90745.0
386,"Greater Mumbai, India",2019-07-24,Silver,Bills,F,86676.0
387,"Greater Mumbai, India",2019-05-08,Platinum,Bills,F,163574.0
388,"Greater Mumbai, India",2020-04-27,Signature,Bills,F,2138.0
389,"Bengaluru, India",2019-06-11,Silver,Bills,F,
390,"Delhi, India",2019-06-06,Platinum,Bills,F,60187.0
391,"Bengaluru, India",2019-03-03,Platinum,Bills,F,15566.0
392,"Greater Mumbai, India",2019-07-11,Signature,Bills,F,242144.0
393,"Delhi, India",2020-03-17,Platinum,Bills,F,114049.0
394,"Bengaluru, India",2020-03-17,Gold,Bills,F,100992.0
395,,2019-03-03,Silver,Bills,F,173017.0
396,"Greater Mumbai, India",2019-06-07,Gold,Bills,F,279567.0
397,"Delhi, India",2020-12-28,Signature,Bills,F,25016.0
398,"Delhi, India",2019-11-11,Silver,Bills,F,157982.0
399,"Bengaluru, India",2019-05-17,Signature,Bills,F,
400,"Delhi, India",,Platinum,Bills,F,134030.0
401,"Bengaluru, India",2020-01-26,Gold,Bills,F,108651.0
402,"Delhi, India",,Gold,Bills,F,138617.0
403,"Bengaluru, India",2019-01-27,Signature,Bills,F,98963.0
404,"Delhi, India",2020-12-24,Silver,Bills,F,25486.0
405,"Delhi, India",2020-03-03,Gold,Bills,F,231140.0
406,"Ahmedabad, India",2019-10-22,Gold,Bills,F,20032.0
407,"Greater Mumbai, India",2020-01-14,Gold,Bills,F,293938.0
408,"Delhi, India",2020-01-11,Silver,Bills,F,88175.0
409,"Ahmedabad, India",2020-02-07,Platinum,Bills,F,105297.0
410,"Delhi, India",2019-10-08,Platinum,Bills,F,
411,"Greater Mumbai, India",2020-08-14,Signature,Bills,F,172386.0
412,"Greater Mumbai, India",2019-05-09,Platinum,Bills,F,46369.0
413,"Greater Mumbai, India",2019-04-02,Silver,Bills,F,158636.0
414,"Delhi, India",2020-11-26,Signature,Bills,F,87219.0
415,"Delhi, India",2019-11-16,Gold,Bills,F,
416,"Bengaluru, India",2019-06-27,Silver,Bills,F,
417,"Ahmedabad, India",2020-11-19,Platinum,Bills,F,243279.0
418,"Bengaluru, India",,Platinum,Bills,F,243950.0
419,"Delhi, India",2019-04-14,Silver,Bills,F,32548.0
420,"Delhi, India",2020-12-09,Platinum,Bills,F,118126.0
421,"Greater Mumbai, India",2020-11-30,Platinum,Bills,F,13325.0
