index,City,Date,Card Type,Exp Type,Gender,Amount
222,"Delhi, India",07-Jun-20,Silver,Bills,F,833979.0
223,"Ahmedabad, India",26-Nov-19,Gold,Bills,F,545416.0
224,"oreater Mumbai, India",21-Oct-20,Silver,Bills,F,873134.0
225,"Greater Mumbai, India",15-Jun-19,,Bills,F,989343.0
226,"Ahmedabad, India",25-Apr-20,Gold,,F,474817.0
227,"Ahmedabad, India",07-Sep-20,Silver,Bills,F,624514.0
228,"Bengaluru, India",,Signature,Bills,F,1069713.0
229,"Delhi, India",23-Feb-20,Platinum,Bills,F,369476.0
230,"Delhi, India",28-Oct-19,Signature,Bills,F,811280.0
231,"Ahmedabad, India",17-Dec-19,Gold,Bills,F,581323.0
232,"Ahmedabad, India",04-Dec-20,Signature,Bills,F,360811.0
233,"Delhi, India",18-Nov-20,Signature,Bills,F,968931.0
234,"Ahmedabad, India",30-Nov-19,Gold,Bills,F,714649.0
235,"Ahmedabad, India",16-Sep-20,Signature,Bills,F,928706.0
236,"Delhi, India",25-May-20,Signature,Bills,F,220914.0
237,"Greater Mumbai, India",19-Apr-19,Gold,Bills,F,462372.0
238,"Ahmedabad, India",25-Mar-20,Silver,Bills,F,251019.0
239,"Bengaluru, India",11-Feb-20,Platinum,Bills,F,595401.0
240,"Ahmedabad, India",,Gold,Bills,F,671791.0
241,"Bengaluru, India",25-Mar-20,Gold,Bills,,984009.0
242,"Greater Mumbai, India",02-Jan-19,Platinum,Bills,F,890188.0
243,"Greater Mumbai, India",25-Dec-20,,Bills,F,625666.0
244,,16-Oct-19,Platinum,Bills,F,328626.0
245,"Delwi, India",19-Apr-20,Platinum,Bills,F,337462.0
246,"Delhi, India",20-Jan-19,Platinum,Bills,F,572089.0
247,"Bengaluru, India",10-May-20,Signature,Bills,F,641336.0
248,"Ahmedabad, India",09-Jan-19,Signature,Bills,F,695005.0
249,"Delhi, India",31-Oct-19,Gold,Bills,F,893882.0
250,"Delhi, India",28-Nov-20,Platinum,Bills,F,258292.0
251,"Bengaluru, India",21-Jul-19,Platinum,Bills,F,786208.0
252,"Bengaluru, India",22-Apr-19,,Bills,F,582280.0
253,"Ahmedabad, India",10-Jun-20,Platinum,Bills,F,850098.0
254,"Ahmedabad, India",17-Apr-19,Gold,Bills,F,934295.0
255,"Ahmedabad, India",09-Nov-20,Platinum,Bills,F,524095.0
256,"Delhi, Iedia",02-Jan-19,Gold,Bills,F,215417.0
257,"Greater Mumbai, India",10-Mar-19,Signature,Bills,F,281662.0
258,"Delhi, India",22-Dec-20,Silver,Bills,F,729253.0
259,"Delhi, India",14-Feb-20,Silver,Bills,F,304941.0
260,"Ahmedabad, India",16-Dec-19,Silver,Bills,F,425780.0
261,"Greater Mumbai, India",01-Apr-19,Platinum,Bills,F,214284.0
262,"Delhi, India",15-Feb-19,Signature,Bills,F,913663.0
263,"Bengaluru, India",24-Nov-19,Signature,Bills,F,636154.0
264,"Benaaluru, India",07-Aug-20,Gold,Bills,F,769658.0
265,"Ahmedabad, India",17-Oct-20,Gold,Bills,F,
266,"Ahmedabad, India",25-May-19,Gold,Bills,F,897212.0
267,"Ahmcdabad, India",16-May-20,Gold,Bills,F,688489.0
268,"Dylhi, India",11-Oct-19,Gold,Bills,F,404848.0
269,"Ahmedabad, India",02-Jun-19,Platinum,Bills,F,597781.0
270,"Ahmedabdd, India",06-Aug-19,Silver,Bills,F,420512.0
271,"Greater Mumbai, India",26-Jan-20,Gold,Bills,F,779880.0
272,"Delhi, India",02-Mar-19,Platinum,Bills,F,241330.0
273,,10-Sep-19,Signature,Bills,F,184376.0
274,"Greater Mumbai, India",22-Jan-19,Gold,Bills,F,
275,"Delhi, India",04-Apr-20,Silver,Bills,F,762681.0
276,"Greater Mumbai, India",16-May-20,Platinum,Bills,F,714049.0
277,"Greater Mumbai, India",22-Feb-20,Silver,Bills,F,590066.0
278,"Greater Mumbai, India",13-Aug-20,Silver,Bills,F,342612.0
279,"Greater Mumbai, India",01-Apr-19,Gold,Bills,F,624464.0
280,"Ahmedabad, India",08-Jan-19,Gold,Bills,F,633187.0
281,"Ahmedabad, India",05-Mar-19,Silver,Bills,F,392564.0
282,"Greater Mumbai, India",29-Jan-20,Silver,Bills,,899242.0
283,"Bengaluru, India",29-Nov-20,Platinum,Bills,F,
284,"Delhi, India",08-Mar-20,Silver,Bills,F,984561.0
285,"Greater Mumbai, India",25-Nov-20,Platinum,Bills,F,905374.0
286,"Ahmelabad, India",13-Apr-19,Silver,Bills,F,257843.0
287,"Greater Mumbai, India",15-Apr-19,Signature,Bills,F,389160.0
288,"Delhi, India",13-Feb-19,Silver,Bills,F,580619.0
289,"Greater Mujbai, India",02-Oct-20,Signature,Bills,F,842569.0
290,"Delhi, India",07-Feb-20,,Bills,F,824672.0
291,"Bengaluru, India",27-Dec-19,Platinum,Bills,F,533595.0
292,"Bengaluru, India",,Platinum,Bills,,319359.0
293,,,Signature,Bills,F,887316.0
294,"Delhi, India",28-Jan-19,Silver,,F,532047.0
295,"Delhi, India",22-Feb-20,Gold,Bills,F,493014.0
296,"Delhi, India",30-Oct-19,Signature,Bills,F,472539.0
297,"Greater Mumbai, India",,Platinum,Bills,F,472689.0
298,"Bengaluru, India",28-Dec-20,Signature,Bills,F,612341.0
299,"Delhi, India",18-Oct-19,Gold,Bills,F,898731.0
300,"Delhi, India",28-Nov-19,Platinum,Bills,F,
301,"Bengaluru, India",25-Feb-20,Silver,Bills,F,707047.0
302,"Greater Mumbai, India",06-Nov-20,Signature,,F,271031.0
303,"Grearer Mumbai, India",02-Mar-20,Signature,Bills,F,498236.0
304,"Delhi, India",19-Apr-20,Signature,Bills,F,196350.0
305,"Greater Mumbai, India",18-Apr-20,Platinum,Bills,F,282916.0
306,"Delhi, India",15-Apr-20,Silver,Bills,F,376366.0
307,"Bengaluru, India",12-Oct-20,Signature,Bills,F,313972.0
308,"Delhi, India",14-Apr-20,Silver,Bills,F,382927.0
309,"Ahmedabad, India",07-Oct-20,Silver,Bills,F,521360.0
310,"Greater Mumbai, India",16-Apr-19,Signature,Bills,F,715285.0
311,"Bengaluru, India",07-May-20,Gold,Bills,F,524801.0
312,"Ahmedabad, India",03-Aug-20,Platinum,Bills,F,853244.0
313,"Ahmedabad, India",17-Mar-20,Gold,Bills,F,494402.0
314,"Bengaluru, India",16-Jan-20,Platinum,Bills,F,606105.0
315,"Greater Mumbai, India",13-Nov-20,Platinum,Bills,,
316,"Delhi, India",02-May-19,Silver,Bills,F,653979.0
317,"Delhi, India",30-Dec-20,Signature,Bills,F,375959.0
318,"Bengaluru, India",19-May-19,Platinum,Bills,F,215134.0
319,"Bengaluru, India",05-Jul-19,Signature,Bills,F,340835.0
320,,10-Oct-19,Signature,Bills,F,341266.0
321,"Ahmedvbad, India",03-Aug-19,Signature,Bills,F,734244.0
322,"Greater Mumbai, India",04-Apr-20,Signature,Bills,F,497380.0
323,,11-Nov-19,Platinum,Bills,F,538387.0
324,"Greater Mumbai, India",11-Jan-19,,Bills,F,678189.0
325,"Ahmedabad, India",14-Feb-20,Signature,Bills,F,267045.0
326,"Greater Mumbai, Indna",16-Jul-20,Gold,Bills,F,878013.0
327,"Greater Mumbai, India",24-Feb-20,Platinum,Bills,F,871057.0
328,"Delhi, India",,Gold,Bills,F,760482.0
329,"Ahmedabad, India",11-Jun-20,Gold,Bills,F,389802.0
330,,,Signature,Bills,F,954189.0
331,"Greater Mumbai, India",02-Aug-19,Silver,Bills,F,882896.0
332,"Greater Mumbai, India",21-May-20,Signature,Bills,F,396018.0
333,"Bennaluru, India",04-Apr-20,Signature,Bills,F,823408.0
334,"Greatef Mumbai, India",03-Mar-19,Gold,Bills,F,326485.0
335,,02-Mar-20,Signature,Bills,F,677138.0
336,"Bengaluru, India",17-May-19,Silver,Bills,F,849232.0
337,"Bengaluru, India",17-Mar-20,Signature,Bills,F,593080.0
338,"Ahmedabad, India",13-Apr-20,Platinum,Bills,F,470123.0
339,"Aemedabad, India",17-Mar-20,Silver,Bills,F,297506.0
340,"Bengaluru, India",06-Jun-20,Platinum,Bills,F,665047.0
341,"Delhi, India",17-Oct-19,Signature,Bills,F,799046.0
342,"Bengaluru, India",25-Feb-19,Silver,Bills,F,813183.0
343,"Greater Mumbai, India",06-Sep-19,Signature,Bills,F,1049297.0
344,"Ahmedabad, India",07-Dec-20,Platinum,Bills,F,487386.0
345,"Ahmedabad, India",28-Aug-20,Signature,Bills,F,319126.0
346,"Ahmedabad, bndia",16-Jun-20,Silver,Bills,F,1023370.0
347,"Ahmedabad, India",07-Jul-20,Signature,Bills,F,485021.0
348,"Greater Mumbai, India",28-Jan-19,Gold,Bills,F,628911.0
349,,12-Jun-19,Gold,Bills,F,975543.0
350,"Bengaluru, India",03-Nov-20,Silver,Bills,F,440386.0
351,"Ahmedabad, India",31-Dec-20,Signature,Bills,F,691833.0
352,"Ahmedabad, India",14-Apr-20,Gold,Bills,F,318637.0
353,"Greater Mumbai, India",27-Aug-20,Silver,Bills,F,38117.0
354,"Bengaluru, India",18-Jun-19,Silver,Bills,F,34251.0
355,"Bengaluru, India",26-Sep-19,Signature,Bills,F,193924.0
356,"Bengaluru, India",,Signature,Bills,F,224979.0
357,"Ahmedabad, India",01-Feb-20,Signature,Bills,,123105.0
358,"Greater Mumbai, India",12-Dec-20,,Bills,F,58022.0
359,,25-Dec-19,Gold,Bills,F,259617.0
360,"Greater Mumbai, India",21-Feb-19,Signature,Bills,F,47011.0
361,"Delhi, India",27-Apr-19,,Bills,F,8246.0
362,"Greater Mumbai, India",08-May-20,Gold,Bills,F,187668.0
363,"Bengalwru, India",10-Apr-19,Silver,Bills,F,134294.0
364,"Delhi, India",05-Jan-20,Signature,Bills,F,225693.0
365,"Greater Mumbai, India",29-Jan-19,Gold,Bills,F,295537.0
366,"Greater Mumbai, India",14-Dec-20,Platinum,Bills,F,177879.0
367,"Ahmedabad, India",13-May-20,Gold,Bills,F,14473.0
368,"Bengaluru, India",05-Feb-19,Platinum,Bills,F,3152.0
369,"Bengaluru, India",07-Jan-20,Gold,Bills,,173899.0
370,"Delhi, India",19-Feb-20,Signature,Bills,F,261925.0
371,"Ahmedabad, India",19-Oct-19,Platinum,Bills,F,114262.0
372,"Delhi, India",03-Dec-20,Silver,Bills,F,86950.0
373,"Ahmedabwd, India",26-Oct-19,Signature,Bills,F,67677.0
374,,27-Apr-20,Platinum,Bills,F,54448.0
375,"Ahmedabad, India",21-Jun-19,Signature,Bills,F,171646.0
376,"Delhi, India",25-Nov-19,Gold,Bills,F,77094.0
377,"Bengaluru, India",25-Jun-20,Signature,Bills,,134424.0
378,"Delhi, India",15-Oct-19,Silver,Bills,F,279413.0
379,"Greater Mumbai, India",,Platinum,Bills,F,262565.0
380,"Delhi, India",03-Jun-19,Signature,Bills,F,81466.0
381,"Delhi, India",16-Jun-20,Signature,Bills,F,59636.0
382,"Delhi, India",09-Apr-20,Platinum,Bills,F,194169.0
383,"Delhi, India",20-Jan-20,Silver,Bills,F,270646.0
384,"Ahmedabad, India",31-Dec-19,Gold,Bills,F,208030.0
385,"Greater Mumbai, India",08-Jun-20,Gold,Bills,F,85982.0
386,"Greater Mumbai, India",24-Jul-19,Silver,Bills,F,88552.0
387,"Greater Mumbai, India",08-May-20,Platinum,Bills,F,164275.0
388,"Greater Mumbai, India",27-Apr-19,Signature,Bills,F,2055.0
389,"Bengaluru, India",11-Jun-19,Silver,Bills,F,242139.0
390,"Delhi, India",06-Jun-19,Platinum,Bills,F,64763.0
391,"Bengaluru, India",03-Mar-19,Platinum,,F,14469.0
392,"Greater Mumbai, India",11-Jul-20,Signature,Bills,F,262056.0
393,"Delhi, India",17-Mar-19,Platinum,Bills,F,108961.0
394,"Bengaluru, India",17-Mar-20,Gold,Bills,F,93734.0
395,"Delhi, India",03-Mar-20,Silver,Bills,F,169305.0
396,"Greater Mumbai, India",07-Jun-20,Gold,Bills,F,263457.0
397,"Delhi, India",28-Dec-19,,Bills,,25549.0
398,"Delhi, India",11-Nov-19,Silver,Bills,,146453.0
399,"Bengaluru, India",17-May-19,Signature,Bills,F,227338.0
400,"Delhi, India",04-Oct-20,Platinum,,F,123765.0
401,"Bengaluru, India",26-Jan-20,Gold,Bills,F,
402,"Delhi, India",17-Jan-20,Gold,Bills,F,133088.0
403,"Bengaluru, Izdia",04-Dec-19,,Bills,F,101058.0
404,"Delhi, India",24-Dec-20,Silver,Bills,F,26443.0
405,"Delhi, India",03-Mar-20,,Bills,F,234674.0
406,"Ahmedabad, India",26-Nov-19,Gold,Bills,F,19798.0
407,"Greater Mumbai, India",,Gold,Bills,F,290887.0
408,"Delhi, India",11-Jan-19,,Bills,F,84855.0
409,"Ahmedabad, India",07-Feb-20,Platinum,Bills,F,97168.0
410,"Delhi, India",08-Oct-19,Platinum,Bills,F,141389.0
